Notes,State,State Code,Year,Year Code,Drug/Alcohol Induced,Drug/Alcohol Induced Code,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,Illinois,17,2015,2015,Alcohol-induced causes,A,946,12859995,7.4,6.5,0.00%
,Illinois,17,2015,2015,All other non-drug and non-alcohol causes,O,104054,12859995,809.1,707.4,0.20%
Total,Illinois,17,2015,2015,,,106872,12859995,831,728.3,0.20%
,Illinois,17,2016,2016,Drug-induced causes,D,2455,12801539,19.2,19.2,0.00%
,Illinois,17,2016,2016,Alcohol-induced causes,A,1113,12801539,8.7,7.8,0.00%
,Illinois,17,2016,2016,All other non-drug and non-alcohol causes,O,103452,12801539,808.1,697.3,0.20%
Total,Illinois,17,2016,2016,,,107020,12801539,836,724.3,0.20%
,Illinois,17,2017,2017,Drug-induced causes,D,2812,12802023,22,21.9,0.00%
,Illinois,17,2017,2017,Alcohol-induced causes,A,1116,12802023,8.7,7.7,0.00%
,Illinois,17,2017,2017,All other non-drug and non-alcohol causes,O,105793,12802023,826.4,694.6,0.20%
Total,Illinois,17,2017,2017,,,109721,12802023,857.1,724.2,0.20%
Total,Illinois,17,,,,,1981914,241233049,821.6,781.7,4.20%
,Indiana,18,1999,1999,Drug-induced causes,D,251,6044969,4.2,4.2,0.00%
,Indiana,18,1999,1999,Alcohol-induced causes,A,307,6044969,5.1,5.2,0.00%
,Indiana,18,1999,1999,All other non-drug and non-alcohol causes,O,54745,6044969,905.6,925.4,0.10%
Total,Indiana,18,1999,1999,,,55303,6044969,914.9,934.7,0.10%
,Indiana,18,2000,2000,Drug-induced causes,D,289,6080485,4.8,4.8,0.00%
,Indiana,18,2000,2000,Alcohol-induced causes,A,347,6080485,5.7,5.8,0.00%
,Indiana,18,2000,2000,All other non-drug and non-alcohol causes,O,54833,6080485,901.8,919,0.10%
Total,Indiana,18,2000,2000,,,55469,6080485,912.2,929.6,0.10%
,Indiana,18,2001,2001,Drug-induced causes,D,348,6127760,5.7,5.7,0.00%
,Indiana,18,2001,2001,Alcohol-induced causes,A,310,6127760,5.1,5.1,0.00%
,Indiana,18,2001,2001,All other non-drug and non-alcohol causes,O,54540,6127760,890,901.9,0.10%
Total,Indiana,18,2001,2001,,,55198,6127760,900.8,912.7,0.10%
,Indiana,18,2002,2002,Drug-induced causes,D,345,6155967,5.6,5.7,0.00%
,Indiana,18,2002,2002,Alcohol-induced causes,A,325,6155967,5.3,5.2,0.00%
,Indiana,18,2002,2002,All other non-drug and non-alcohol causes,O,54726,6155967,889,895.2,0.10%
Total,Indiana,18,2002,2002,,,55396,6155967,899.9,906.1,0.10%
,Indiana,18,2003,2003,Drug-induced causes,D,498,6196638,8,8.1,0.00%
,Indiana,18,2003,2003,Alcohol-induced causes,A,330,6196638,5.3,5.2,0.00%
,Indiana,18,2003,2003,All other non-drug and non-alcohol causes,O,55140,6196638,889.8,888.8,0.10%
Total,Indiana,18,2003,2003,,,55968,6196638,903.2,902.2,0.10%
,Indiana,18,2004,2004,Drug-induced causes,D,606,6233007,9.7,9.9,0.00%
,Indiana,18,2004,2004,Alcohol-induced causes,A,327,6233007,5.2,5.1,0.00%
,Indiana,18,2004,2004,All other non-drug and non-alcohol causes,O,53278,6233007,854.8,849.1,0.10%
Total,Indiana,18,2004,2004,,,54211,6233007,869.7,864.1,0.10%
,Indiana,18,2005,2005,Drug-induced causes,D,665,6278616,10.6,10.7,0.00%
,Indiana,18,2005,2005,Alcohol-induced causes,A,319,6278616,5.1,4.9,0.00%
,Indiana,18,2005,2005,All other non-drug and non-alcohol causes,O,54691,6278616,871.1,858.7,0.10%
Total,Indiana,18,2005,2005,,,55675,6278616,886.7,874.3,0.10%
,Indiana,18,2006,2006,Drug-induced causes,D,773,6332669,12.2,12.3,0.00%
,Indiana,18,2006,2006,Alcohol-induced causes,A,332,6332669,5.2,5,0.00%
,Indiana,18,2006,2006,All other non-drug and non-alcohol causes,O,54517,6332669,860.9,839.5,0.10%
Total,Indiana,18,2006,2006,,,55622,6332669,878.3,856.8,0.10%
,Indiana,18,2007,2007,Drug-induced causes,D,827,6379599,13,13.1,0.00%
,Indiana,18,2007,2007,Alcohol-induced causes,A,315,6379599,4.9,4.7,0.00%
,Indiana,18,2007,2007,All other non-drug and non-alcohol causes,O,52858,6379599,828.5,799.3,0.10%
Total,Indiana,18,2007,2007,,,54000,6379599,846.4,817.1,0.10%
,Indiana,18,2008,2008,Drug-induced causes,D,869,6424806,13.5,13.8,0.00%
,Indiana,18,2008,2008,Alcohol-induced causes,A,376,6424806,5.9,5.4,0.00%
,Indiana,18,2008,2008,All other non-drug and non-alcohol causes,O,55507,6424806,863.9,824.5,0.10%
Total,Indiana,18,2008,2008,,,56752,6424806,883.3,843.8,0.10%
,Indiana,18,2009,2009,Drug-induced causes,D,929,6459325,14.4,14.5,0.00%
,Indiana,18,2009,2009,Alcohol-induced causes,A,381,6459325,5.9,5.4,0.00%
,Indiana,18,2009,2009,All other non-drug and non-alcohol causes,O,54663,6459325,846.3,800.6,0.10%
Total,Indiana,18,2009,2009,,,55973,6459325,866.5,820.6,0.10%
,Indiana,18,2010,2010,Drug-induced causes,D,964,6483802,14.9,14.9,0.00%
,Indiana,18,2010,2010,Alcohol-induced causes,A,435,6483802,6.7,6.3,0.00%
,Indiana,18,2010,2010,All other non-drug and non-alcohol causes,O,55344,6483802,853.6,799.4,0.10%
Total,Indiana,18,2010,2010,,,56743,6483802,875.2,820.6,0.10%
,Indiana,18,2011,2011,Drug-induced causes,D,1006,6516922,15.4,15.8,0.00%
,Indiana,18,2011,2011,Alcohol-induced causes,A,495,6516922,7.6,6.9,0.00%
,Indiana,18,2011,2011,All other non-drug and non-alcohol causes,O,56701,6516922,870.1,802.4,0.10%
Total,Indiana,18,2011,2011,,,58202,6516922,893.1,825.1,0.10%
,Indiana,18,2012,2012,Drug-induced causes,D,1056,6537334,16.2,16.7,0.00%
,Indiana,18,2012,2012,Alcohol-induced causes,A,499,6537334,7.6,7,0.00%
,Indiana,18,2012,2012,All other non-drug and non-alcohol causes,O,57777,6537334,883.8,803.8,0.10%
Total,Indiana,18,2012,2012,,,59332,6537334,907.6,827.5,0.10%
,Indiana,18,2013,2013,Drug-induced causes,D,1122,6570902,17.1,17.5,0.00%
,Indiana,18,2013,2013,Alcohol-induced causes,A,533,6570902,8.1,7.3,0.00%
,Indiana,18,2013,2013,All other non-drug and non-alcohol causes,O,59061,6570902,898.8,807.4,0.10%
Total,Indiana,18,2013,2013,,,60716,6570902,924,832.2,0.10%
,Indiana,18,2014,2014,Drug-induced causes,D,1233,6596855,18.7,19.2,0.00%
,Indiana,18,2014,2014,Alcohol-induced causes,A,592,6596855,9,8.1,0.00%
,Indiana,18,2014,2014,All other non-drug and non-alcohol causes,O,59115,6596855,896.1,795,0.10%
Total,Indiana,18,2014,2014,,,60940,6596855,923.8,822.3,0.10%
,Indiana,18,2015,2015,Drug-induced causes,D,1310,6619680,19.8,20.5,0.00%
,Indiana,18,2015,2015,Alcohol-induced causes,A,689,6619680,10.4,9.4,0.00%
,Indiana,18,2015,2015,All other non-drug and non-alcohol causes,O,60714,6619680,917.2,804.1,0.10%
Total,Indiana,18,2015,2015,,,62713,6619680,947.4,833.9,0.10%
,Indiana,18,2016,2016,Drug-induced causes,D,1574,6633053,23.7,24.7,0.00%
,Indiana,18,2016,2016,Alcohol-induced causes,A,707,6633053,10.7,9.4,0.00%
,Indiana,18,2016,2016,All other non-drug and non-alcohol causes,O,61192,6633053,922.5,800.9,0.10%
Total,Indiana,18,2016,2016,,,63473,6633053,956.9,835,0.10%
,Indiana,18,2017,2017,Drug-induced causes,D,1925,6666818,28.9,30.5,0.00%
,Indiana,18,2017,2017,Alcohol-induced causes,A,722,6666818,10.8,9.6,0.00%
,Indiana,18,2017,2017,All other non-drug and non-alcohol causes,O,62950,6666818,944.2,808.6,0.10%
Total,Indiana,18,2017,2017,,,65597,6666818,983.9,848.6,0.10%
Total,Indiana,18,,,,,1097283,121339207,904.3,855.1,2.30%
,Iowa,19,1999,1999,Drug-induced causes,D,59,2917634,2,2,0.00%
,Iowa,19,1999,1999,Alcohol-induced causes,A,153,2917634,5.2,5.1,0.00%
,Iowa,19,1999,1999,All other non-drug and non-alcohol causes,O,28199,2917634,966.5,799.2,0.10%
Total,Iowa,19,1999,1999,,,28411,2917634,973.8,806.4,0.10%
,Iowa,19,2000,2000,Drug-induced causes,D,79,2926324,2.7,2.7,0.00%
,Iowa,19,2000,2000,Alcohol-induced causes,A,135,2926324,4.6,4.5,0.00%
,Iowa,19,2000,2000,All other non-drug and non-alcohol causes,O,27846,2926324,951.6,787.5,0.10%
Total,Iowa,19,2000,2000,,,28060,2926324,958.9,794.7,0.10%
,Iowa,19,2001,2001,Drug-induced causes,D,90,2931997,3.1,3.1,0.00%
,Iowa,19,2001,2001,Alcohol-induced causes,A,158,2931997,5.4,5.2,0.00%
,Iowa,19,2001,2001,All other non-drug and non-alcohol causes,O,27543,2931997,939.4,771.9,0.10%
Total,Iowa,19,2001,2001,,,27791,2931997,947.9,780.1,0.10%
,Iowa,19,2002,2002,Drug-induced causes,D,101,2934234,3.4,3.5,0.00%
,Iowa,19,2002,2002,Alcohol-induced causes,A,162,2934234,5.5,5.3,0.00%
,Iowa,19,2002,2002,All other non-drug and non-alcohol causes,O,27715,2934234,944.5,771.2,0.10%
Total,Iowa,19,2002,2002,,,27978,2934234,953.5,779.9,0.10%
,Iowa,19,2003,2003,Drug-induced causes,D,110,2941999,3.7,3.9,0.00%
,Iowa,19,2003,2003,Alcohol-induced causes,A,167,2941999,5.7,5.4,0.00%
,Iowa,19,2003,2003,All other non-drug and non-alcohol causes,O,27785,2941999,944.4,766.9,0.10%
Total,Iowa,19,2003,2003,,,28062,2941999,953.8,776.2,0.10%
,Iowa,19,2004,2004,Drug-induced causes,D,132,2953635,4.5,4.6,0.00%
,Iowa,19,2004,2004,Alcohol-induced causes,A,156,2953635,5.3,5,0.00%
,Iowa,19,2004,2004,All other non-drug and non-alcohol causes,O,26609,2953635,900.9,728.7,0.10%
Total,Iowa,19,2004,2004,,,26897,2953635,910.6,738.3,0.10%
,Iowa,19,2005,2005,Drug-induced causes,D,154,2964454,5.2,5.3,0.00%
,Iowa,19,2005,2005,Alcohol-induced causes,A,193,2964454,6.5,6.1,0.00%
,Iowa,19,2005,2005,All other non-drug and non-alcohol causes,O,27464,2964454,926.4,746.1,0.10%
Total,Iowa,19,2005,2005,,,27811,2964454,938.1,757.5,0.10%
,Iowa,19,2006,2006,Drug-induced causes,D,199,2982644,6.7,6.9,0.00%
,Iowa,19,2006,2006,Alcohol-induced causes,A,185,2982644,6.2,5.8,0.00%
,Iowa,19,2006,2006,All other non-drug and non-alcohol causes,O,26978,2982644,904.5,723.4,0.10%
Total,Iowa,19,2006,2006,,,27362,2982644,917.4,736.1,0.10%
,Iowa,19,2007,2007,Drug-induced causes,D,211,2999212,7,7.1,0.00%
,Iowa,19,2007,2007,Alcohol-induced causes,A,212,2999212,7.1,6.5,0.00%
,Iowa,19,2007,2007,All other non-drug and non-alcohol causes,O,26798,2999212,893.5,710.5,0.10%
Total,Iowa,19,2007,2007,,,27221,2999212,907.6,724.2,0.10%
,Iowa,19,2008,2008,Drug-induced causes,D,214,3016734,7.1,7.3,0.00%
,Iowa,19,2008,2008,Alcohol-induced causes,A,205,3016734,6.8,6.2,0.00%
,Iowa,19,2008,2008,All other non-drug and non-alcohol causes,O,28122,3016734,932.2,739.1,0.10%
Total,Iowa,19,2008,2008,,,28541,3016734,946.1,752.6,0.10%
,Iowa,19,2009,2009,Drug-induced causes,D,213,3032870,7,7.3,0.00%
,Iowa,19,2009,2009,Alcohol-induced causes,A,230,3032870,7.6,6.8,0.00%
,Iowa,19,2009,2009,All other non-drug and non-alcohol causes,O,27101,3032870,893.6,708.9,0.10%
Total,Iowa,19,2009,2009,,,27544,3032870,908.2,723,0.10%
,Iowa,19,2010,2010,Drug-induced causes,D,258,3046355,8.5,8.8,0.00%
,Iowa,19,2010,2010,Alcohol-induced causes,A,233,3046355,7.6,6.7,0.00%
,Iowa,19,2010,2010,All other non-drug and non-alcohol causes,O,27254,3046355,894.6,706.2,0.10%
Total,Iowa,19,2010,2010,,,27745,3046355,910.8,721.7,0.10%
,Iowa,19,2011,2011,Drug-induced causes,D,265,3062309,8.7,9,0.00%
,Iowa,19,2011,2011,Alcohol-induced causes,A,256,3062309,8.4,7.6,0.00%
,Iowa,19,2011,2011,All other non-drug and non-alcohol causes,O,27663,3062309,903.3,706.2,0.10%
Total,Iowa,19,2011,2011,,,28184,3062309,920.4,722.7,0.10%
,Iowa,19,2012,2012,Drug-induced causes,D,268,3074186,8.7,8.9,0.00%
,Iowa,19,2012,2012,Alcohol-induced causes,A,275,3074186,8.9,8,0.00%
,Iowa,19,2012,2012,All other non-drug and non-alcohol causes,O,27846,3074186,905.8,701.5,0.10%
Total,Iowa,19,2012,2012,,,28389,3074186,923.5,718.3,0.10%
,Iowa,19,2013,2013,Drug-induced causes,D,287,3090416,9.3,9.7,0.00%
,Iowa,19,2013,2013,Alcohol-induced causes,A,313,3090416,10.1,9,0.00%
,Iowa,19,2013,2013,All other non-drug and non-alcohol causes,O,28348,3090416,917.3,705,0.10%
Total,Iowa,19,2013,2013,,,28948,3090416,936.7,723.7,0.10%
,Iowa,19,2014,2014,Drug-induced causes,D,273,3107126,8.8,9.1,0.00%
,Iowa,19,2014,2014,Alcohol-induced causes,A,360,3107126,11.6,10.2,0.00%
,Iowa,19,2014,2014,All other non-drug and non-alcohol causes,O,28557,3107126,919.1,703.6,0.10%
Total,Iowa,19,2014,2014,,,29190,3107126,939.5,722.9,0.10%
,Iowa,19,2015,2015,Drug-induced causes,D,332,3123899,10.6,11,0.00%
,Iowa,19,2015,2015,Alcohol-induced causes,A,344,3123899,11,9.8,0.00%
,Iowa,19,2015,2015,All other non-drug and non-alcohol causes,O,28924,3123899,925.9,703.8,0.10%
Total,Iowa,19,2015,2015,,,29600,3123899,947.5,724.6,0.10%
,Iowa,19,2016,2016,Drug-induced causes,D,338,3134693,10.8,11.2,0.00%
,Iowa,19,2016,2016,Alcohol-induced causes,A,380,3134693,12.1,10.9,0.00%
,Iowa,19,2016,2016,All other non-drug and non-alcohol causes,O,28820,3134693,919.4,699,0.10%
Total,Iowa,19,2016,2016,,,29538,3134693,942.3,721.1,0.10%
,Iowa,19,2017,2017,Drug-induced causes,D,357,3145711,11.3,12,0.00%
,Iowa,19,2017,2017,Alcohol-induced causes,A,404,3145711,12.8,11.5,0.00%
,Iowa,19,2017,2017,All other non-drug and non-alcohol causes,O,29769,3145711,946.3,713.5,0.10%
Total,Iowa,19,2017,2017,,,30530,3145711,970.5,737,0.10%
Total,Iowa,19,,,,,537802,57386432,937.2,744.1,1.10%
,Kansas,20,1999,1999,Drug-induced causes,D,100,2678338,3.7,3.8,0.00%
,Kansas,20,1999,1999,Alcohol-induced causes,A,132,2678338,4.9,5,0.00%
,Kansas,20,1999,1999,All other non-drug and non-alcohol causes,O,24240,2678338,905,839.3,0.10%
Total,Kansas,20,1999,1999,,,24472,2678338,913.7,848.1,0.10%
,Kansas,20,2000,2000,Drug-induced causes,D,112,2688418,4.2,4.3,0.00%
,Kansas,20,2000,2000,Alcohol-induced causes,A,137,2688418,5.1,5.2,0.00%
,Kansas,20,2000,2000,All other non-drug and non-alcohol causes,O,24468,2688418,910.1,841,0.10%
Total,Kansas,20,2000,2000,,,24717,2688418,919.4,850.5,0.10%
,Kansas,20,2001,2001,Drug-induced causes,D,148,2702162,5.5,5.6,0.00%
,Kansas,20,2001,2001,Alcohol-induced causes,A,158,2702162,5.8,5.9,0.00%
,Kansas,20,2001,2001,All other non-drug and non-alcohol causes,O,24341,2702162,900.8,832.8,0.10%
Total,Kansas,20,2001,2001,,,24647,2702162,912.1,844.4,0.10%
,Kansas,20,2002,2002,Drug-induced causes,D,189,2713535,7,7.2,0.00%
,Kansas,20,2002,2002,Alcohol-induced causes,A,170,2713535,6.3,6.3,0.00%
,Kansas,20,2002,2002,All other non-drug and non-alcohol causes,O,24662,2713535,908.9,837.8,0.10%
Total,Kansas,20,2002,2002,,,25021,2713535,922.1,851.3,0.10%
,Kansas,20,2003,2003,Drug-induced causes,D,197,2723004,7.2,7.4,0.00%
,Kansas,20,2003,2003,Alcohol-induced causes,A,173,2723004,6.4,6.4,0.00%
,Kansas,20,2003,2003,All other non-drug and non-alcohol causes,O,24223,2723004,889.6,815.7,0.10%
Total,Kansas,20,2003,2003,,,24593,2723004,903.2,829.5,0.10%
,Kansas,20,2004,2004,Drug-induced causes,D,238,2734373,8.7,9,0.00%
,Kansas,20,2004,2004,Alcohol-induced causes,A,167,2734373,6.1,6.1,0.00%
,Kansas,20,2004,2004,All other non-drug and non-alcohol causes,O,23413,2734373,856.2,782.9,0.00%
Total,Kansas,20,2004,2004,,,23818,2734373,871.1,798,0.00%
,Kansas,20,2005,2005,Drug-induced causes,D,284,2745299,10.3,10.6,0.00%
,Kansas,20,2005,2005,Alcohol-induced causes,A,177,2745299,6.4,6.3,0.00%
,Kansas,20,2005,2005,All other non-drug and non-alcohol causes,O,24221,2745299,882.3,799.9,0.10%
Total,Kansas,20,2005,2005,,,24682,2745299,899.1,816.8,0.10%
,Kansas,20,2006,2006,Drug-induced causes,D,292,2762931,10.6,10.8,0.00%
,Kansas,20,2006,2006,Alcohol-induced causes,A,184,2762931,6.7,6.4,0.00%
,Kansas,20,2006,2006,All other non-drug and non-alcohol causes,O,24077,2762931,871.4,784.9,0.10%
Total,Kansas,20,2006,2006,,,24553,2762931,888.7,802.2,0.10%
,Kansas,20,2007,2007,Drug-induced causes,D,294,2783785,10.6,10.8,0.00%
,Kansas,20,2007,2007,Alcohol-induced causes,A,211,2783785,7.6,7.2,0.00%
,Kansas,20,2007,2007,All other non-drug and non-alcohol causes,O,23986,2783785,861.6,769.8,0.10%
Total,Kansas,20,2007,2007,,,24491,2783785,879.8,787.8,0.10%
,Kansas,20,2008,2008,Drug-induced causes,D,241,2808076,8.6,8.7,0.00%
,Kansas,20,2008,2008,Alcohol-induced causes,A,205,2808076,7.3,7,0.00%
,Kansas,20,2008,2008,All other non-drug and non-alcohol causes,O,24529,2808076,873.5,778.6,0.10%
Total,Kansas,20,2008,2008,,,24975,2808076,889.4,794.3,0.10%
,Kansas,20,2009,2009,Drug-induced causes,D,318,2832704,11.2,11.5,0.00%
,Kansas,20,2009,2009,Alcohol-induced causes,A,225,2832704,7.9,7.3,0.00%
,Kansas,20,2009,2009,All other non-drug and non-alcohol causes,O,23481,2832704,828.9,738.9,0.00%
Total,Kansas,20,2009,2009,,,24024,2832704,848.1,757.8,0.10%
,Kansas,20,2010,2010,Drug-induced causes,D,288,2853118,10.1,10.2,0.00%
,Kansas,20,2010,2010,Alcohol-induced causes,A,201,2853118,7,6.5,0.00%
,Kansas,20,2010,2010,All other non-drug and non-alcohol causes,O,24013,2853118,841.6,745.5,0.10%
Total,Kansas,20,2010,2010,,,24502,2853118,858.8,762.2,0.10%
,Kansas,20,2011,2011,Drug-induced causes,D,317,2871238,11,11.4,0.00%
,Kansas,20,2011,2011,Alcohol-induced causes,A,230,2871238,8,7.6,0.00%
,Kansas,20,2011,2011,All other non-drug and non-alcohol causes,O,24569,2871238,855.7,748.2,0.10%
Total,Kansas,20,2011,2011,,,25116,2871238,874.7,767.2,0.10%
,Kansas,20,2012,2012,Drug-induced causes,D,341,2885905,11.8,12.2,0.00%
,Kansas,20,2012,2012,Alcohol-induced causes,A,225,2885905,7.8,7.2,0.00%
,Kansas,20,2012,2012,All other non-drug and non-alcohol causes,O,24579,2885905,851.7,741.5,0.10%
Total,Kansas,20,2012,2012,,,25145,2885905,871.3,761,0.10%
,Kansas,20,2013,2013,Drug-induced causes,D,356,2893957,12.3,12.8,0.00%
,Kansas,20,2013,2013,Alcohol-induced causes,A,212,2893957,7.3,6.8,0.00%
,Kansas,20,2013,2013,All other non-drug and non-alcohol causes,O,24846,2893957,858.5,738.1,0.10%
Total,Kansas,20,2013,2013,,,25414,2893957,878.2,757.7,0.10%
,Kansas,20,2014,2014,Drug-induced causes,D,349,2904021,12,12.3,0.00%
,Kansas,20,2014,2014,Alcohol-induced causes,A,263,2904021,9.1,8.4,0.00%
,Kansas,20,2014,2014,All other non-drug and non-alcohol causes,O,25181,2904021,867.1,738.6,0.10%
Total,Kansas,20,2014,2014,,,25793,2904021,888.2,759.3,0.10%
,Kansas,20,2015,2015,Drug-induced causes,D,349,2911641,12,12.5,0.00%
,Kansas,20,2015,2015,Alcohol-induced causes,A,278,2911641,9.5,8.9,0.00%
,Kansas,20,2015,2015,All other non-drug and non-alcohol causes,O,26037,2911641,894.2,752.7,0.10%
Total,Kansas,20,2015,2015,,,26664,2911641,915.8,774.1,0.10%
,Kansas,20,2016,2016,Drug-induced causes,D,333,2907289,11.5,11.8,0.00%
,Kansas,20,2016,2016,Alcohol-induced causes,A,288,2907289,9.9,9.2,0.00%
,Kansas,20,2016,2016,All other non-drug and non-alcohol causes,O,25624,2907289,881.4,735.8,0.10%
Total,Kansas,20,2016,2016,,,26245,2907289,902.7,756.8,0.10%
,Kansas,20,2017,2017,Drug-induced causes,D,360,2913123,12.4,12.7,0.00%
,Kansas,20,2017,2017,Alcohol-induced causes,A,314,2913123,10.8,9.8,0.00%
,Kansas,20,2017,2017,All other non-drug and non-alcohol causes,O,26389,2913123,905.9,748.6,0.10%
Total,Kansas,20,2017,2017,,,27063,2913123,929,771.2,0.10%
Total,Kansas,20,,,,,475935,53312917,892.7,792.4,1.00%
,Kentucky,21,1999,1999,Drug-induced causes,D,215,4018053,5.4,5.3,0.00%
,Kentucky,21,1999,1999,Alcohol-induced causes,A,238,4018053,5.9,5.9,0.00%
,Kentucky,21,1999,1999,All other non-drug and non-alcohol causes,O,38868,4018053,967.3,992.9,0.10%
Total,Kentucky,21,1999,1999,,,39321,4018053,978.6,1004.1,0.10%
,Kentucky,21,2000,2000,Drug-induced causes,D,257,4041769,6.4,6.3,0.00%
,Kentucky,21,2000,2000,Alcohol-induced causes,A,263,4041769,6.5,6.4,0.00%
,Kentucky,21,2000,2000,All other non-drug and non-alcohol causes,O,38984,4041769,964.5,985.9,0.10%
Total,Kentucky,21,2000,2000,,,39504,4041769,977.4,998.6,0.10%
,Kentucky,21,2001,2001,Drug-induced causes,D,370,4068132,9.1,9,0.00%
,Kentucky,21,2001,2001,Alcohol-induced causes,A,257,4068132,6.3,6.1,0.00%
,Kentucky,21,2001,2001,All other non-drug and non-alcohol causes,O,39234,4068132,964.4,982,0.10%
Total,Kentucky,21,2001,2001,,,39861,4068132,979.8,997.1,0.10%
,Kentucky,21,2002,2002,Drug-induced causes,D,451,4089875,11,11,0.00%
,Kentucky,21,2002,2002,Alcohol-induced causes,A,235,4089875,5.7,5.5,0.00%
,Kentucky,21,2002,2002,All other non-drug and non-alcohol causes,O,40011,4089875,978.3,993.1,0.10%
Total,Kentucky,21,2002,2002,,,40697,4089875,995.1,1009.7,0.10%
,Kentucky,21,2003,2003,Drug-induced causes,D,588,4117170,14.3,14.3,0.00%
,Kentucky,21,2003,2003,Alcohol-induced causes,A,241,4117170,5.9,5.6,0.00%
,Kentucky,21,2003,2003,All other non-drug and non-alcohol causes,O,39412,4117170,957.3,966.5,0.10%
Total,Kentucky,21,2003,2003,,,40241,4117170,977.4,986.4,0.10%
,Kentucky,21,2004,2004,Drug-induced causes,D,559,4146101,13.5,13.5,0.00%
,Kentucky,21,2004,2004,Alcohol-induced causes,A,244,4146101,5.9,5.6,0.00%
,Kentucky,21,2004,2004,All other non-drug and non-alcohol causes,O,37843,4146101,912.7,916.1,0.10%
Total,Kentucky,21,2004,2004,,,38646,4146101,932.1,935.3,0.10%
,Kentucky,21,2005,2005,Drug-induced causes,D,662,4182742,15.8,15.9,0.00%
,Kentucky,21,2005,2005,Alcohol-induced causes,A,252,4182742,6,5.6,0.00%
,Kentucky,21,2005,2005,All other non-drug and non-alcohol causes,O,39309,4182742,939.8,933.2,0.10%
Total,Kentucky,21,2005,2005,,,40223,4182742,961.6,954.7,0.10%
,Kentucky,21,2006,2006,Drug-induced causes,D,766,4219239,18.2,18.2,0.00%
,Kentucky,21,2006,2006,Alcohol-induced causes,A,232,4219239,5.5,5,0.00%
,Kentucky,21,2006,2006,All other non-drug and non-alcohol causes,O,39104,4219239,926.8,909,0.10%
Total,Kentucky,21,2006,2006,,,40102,4219239,950.5,932.3,0.10%
,Kentucky,21,2007,2007,Drug-induced causes,D,722,4256672,17,17,0.00%
,Kentucky,21,2007,2007,Alcohol-induced causes,A,283,4256672,6.6,6.2,0.00%
,Kentucky,21,2007,2007,All other non-drug and non-alcohol causes,O,39085,4256672,918.2,892.1,0.10%
Total,Kentucky,21,2007,2007,,,40090,4256672,941.8,915.3,0.10%
,Kentucky,21,2008,2008,Drug-induced causes,D,779,4289878,18.2,18.3,0.00%
,Kentucky,21,2008,2008,Alcohol-induced causes,A,237,4289878,5.5,5,0.00%
,Kentucky,21,2008,2008,All other non-drug and non-alcohol causes,O,40313,4289878,939.7,903.4,0.10%
Total,Kentucky,21,2008,2008,,,41329,4289878,963.4,926.7,0.10%
,Kentucky,21,2009,2009,Drug-induced causes,D,786,4317074,18.2,18.4,0.00%
,Kentucky,21,2009,2009,Alcohol-induced causes,A,301,4317074,7,6.3,0.00%
,Kentucky,21,2009,2009,All other non-drug and non-alcohol causes,O,40293,4317074,933.3,887.9,0.10%
Total,Kentucky,21,2009,2009,,,41380,4317074,958.5,912.5,0.10%
,Kentucky,21,2010,2010,Drug-induced causes,D,1036,4339367,23.9,24.2,0.00%
,Kentucky,21,2010,2010,Alcohol-induced causes,A,302,4339367,7,6.2,0.00%
,Kentucky,21,2010,2010,All other non-drug and non-alcohol causes,O,40645,4339367,936.7,884.6,0.10%
Total,Kentucky,21,2010,2010,,,41983,4339367,967.5,915,0.10%
,Kentucky,21,2011,2011,Drug-induced causes,D,1099,4369356,25.2,26,0.00%
,Kentucky,21,2011,2011,Alcohol-induced causes,A,293,4369356,6.7,6,0.00%
,Kentucky,21,2011,2011,All other non-drug and non-alcohol causes,O,41234,4369356,943.7,878.4,0.10%
Total,Kentucky,21,2011,2011,,,42626,4369356,975.6,910.3,0.10%
,Kentucky,21,2012,2012,Drug-induced causes,D,1126,4380415,25.7,26.1,0.00%
,Kentucky,21,2012,2012,Alcohol-induced causes,A,351,4380415,8,7.2,0.00%
,Kentucky,21,2012,2012,All other non-drug and non-alcohol causes,O,42187,4380415,963.1,883.1,0.10%
Total,Kentucky,21,2012,2012,,,43664,4380415,996.8,916.3,0.10%
,Kentucky,21,2013,2013,Drug-induced causes,D,1049,4395295,23.9,24.3,0.00%
,Kentucky,21,2013,2013,Alcohol-induced causes,A,331,4395295,7.5,6.6,0.00%
,Kentucky,21,2013,2013,All other non-drug and non-alcohol causes,O,42379,4395295,964.2,869,0.10%
Total,Kentucky,21,2013,2013,,,43759,4395295,995.6,899.9,0.10%
,Kentucky,21,2014,2014,Drug-induced causes,D,1128,4413457,25.6,26,0.00%
,Kentucky,21,2014,2014,Alcohol-induced causes,A,396,4413457,9,7.9,0.00%
,Kentucky,21,2014,2014,All other non-drug and non-alcohol causes,O,43314,4413457,981.4,872.4,0.10%
Total,Kentucky,21,2014,2014,,,44838,4413457,1015.9,906.3,0.10%
,Kentucky,21,2015,2015,Drug-induced causes,D,1332,4425092,30.1,31.3,0.00%
,Kentucky,21,2015,2015,Alcohol-induced causes,A,466,4425092,10.5,9.1,0.00%
,Kentucky,21,2015,2015,All other non-drug and non-alcohol causes,O,44766,4425092,1011.6,884.3,0.10%
